subject,probename,fiber_diameter_um,fiber_length_mm,numerical_aperture,targeted_regions,X-ml_um,Y-ap_um,Z-dv_um,depth,theta,phi,roll,expression,surg
ZFM-02128,probe00,400,5,0.57,DR,0,-6540,0,4140,32,-90,0,1,19032021
ZFM-03059,probe01,200,4,0.48,DR,0,-6640,0,3900,32,-90,0,1,09082021
ZFM-03062,probe02,400,5,0.57,MR,1500,-4360,0,3900,19.2,0,0,1,10082021
ZFM-03065,probe03,400,4,0.57,DR,0,-6540,0,3950,32,-90,0,1,11082021
ZFM-03061,probe04,200,5,0.48,DR,0,-6540,0,3585,32,-90,0,1,12082021
ZFM-03061,probe05,200,5,0.48,MR,1500,-4360,0,4550,19,0,0,1,12082021
ZFM-03447,probe06,400,5,0.57,VTA,500,-3100,0,4280,0,0,0,1,21102021
ZFM-03448,probe07,200,5,0.48,SNc,1180,-3120,0,4280,0,0,0,1,22102021
ZFM-03450,probe08,200,5,0.48,SNc,1500,-2920,0,4015,0,0,0,0,23102021
ZFM-03450,probe09,200,5,0.48,SNc,-1500,-2920,0,4015,0,0,0,0,23102021
ZFM-04026,probe10,200,5,0.48,VTA,500,-3100,0,4210,0,0,0,1,16012022
ZFM-04019,probe11,200,5,0.48,SNc,1500,-3120,0,3950,0,0,0,1,17012022
ZFM-04022,probe12,200,5,0.48,VTA,-500,-3100,0,4200,0,0,0,1,18012022
ZFM-04022,probe13,200,5,0.48,SNc,1350,-3120,0,4100,0,0,0,1,18012022
ZFM-04392,probe14,200,4,0.48,DR,0,-6540,0,3585,32,-90,0,1,21042022
ZFM-04392,probe15,200,4,0.48,VP,1750,-1940,0,3000,0,0,0,1,21042022
ZFM-04392,probe16,200,4,0.48,MGv,-2000,-3160,0,3000,0,0,0,1,21042022
ZFM-04533,probe17,200,4,0.48,LC,850,-5450,0,3900,0,0,0,1,22042022
ZFM-04534,probe18,200,4,0.48,LC,850,-5450,0,3600,0,0,0,1,23042022
ZFM-04534,probe19,200,4,0.48,CP,-1250,740,0,3900,0,0,0,1,23042022
ZFM-05235,probe20,400,5,0.57,DR,0,-6640,0,4050,32,-90,0,1,26092022
ZFM-05236,probe21,400,5,0.57,DR,0,-6640,0,3850,32,-90,0,1,27092022
ZFM-05245,probe22,200,4,0.48,DR,0,-6640,0,3800,32.25,-90,0,1,28092022
ZFM-05248,probe23,200,5,0.48,DR,0,-6600,0,3900,32,-90,0,1,30092022
ZFM-05645,probe24,400,4,0.48,NBM,-1700,-650,0,4285,0.5,0,0,0,03022023
ZFM-06268,probe25,200,4,0.57,LC,850,-5450,0,3600,0,0,0,1,22052023
ZFM-06271,probe26,200,4,0.57,LC,850,-5450,0,3600,0,0,0,1,23052023
ZFM-06272,probe27,200,4,0.57,LC,850,-5450,0,3600,0,0,0,1,23052023
ZFM-06272,probe28,200,4,0.57,LC,-1750,-5450,0,3550,14.23,0,0,1,23052023
ZFM-06171,probe29,200,4,0.57,LC,850,-5450,0,3600,0,0,0,1,24052023
ZFM-06275,probe30,400,4.5,0.57,LC,850,-5450,0,3600,0,0,0,1,24052023
ZFM-06275,probe31,400,4.5,0.57,LC,-1750,-5450,0,3550,14.23,0,0,1,24052023
ZFM-06305,probe32,400,5,0.48,NBM,1750,-700,0,4150,0,0,0,1,25052023
ZFM-06305,probe33,400,5,0.48,SI,-1230,-20,0,4750,0,0,0,1,25052023
ZFM-06946,probe34,400,4.5,0.66,NBM,1760,-730,0,4150,0,0,0,1,02102023
ZFM-06948,probe35,400,4.5,0.66,NBM,1760,-730,0,4150,0,0,0,1,02102023